COD_ACIDEN;Final de s;Pico;Pista_Molhada;Intersecao;Centro;Vei_Pesado;MOTO;NATUREZA;_GRAVIDADE
65;0;0;0;1;1;0;0;Colisao Traseira;ILESO
66;1;1;1;1;1;0;0;Colisao Traseira;ILESO
67;0;0;0;1;1;0;0;Colisao Transversal;ILESO
68;0;0;0;1;1;0;0;Colisao Lateral;ILESO
69;0;1;0;1;1;0;0;Colisao Lateral;ILESO
70;0;0;0;0;1;0;0;Colisao Traseira;ILESO
71;0;0;0;0;1;1;0;Colisao Traseira;FERIDO
72;0;0;0;0;1;0;0;Colisao Traseira;ILESO
73;0;0;0;1;1;0;1;Colisao Traseira;FERIDO
74;0;1;0;1;1;0;0;Colisao Lateral;ILESO
75;0;0;0;0;1;0;0;Colisao Traseira;ILESO
76;0;0;0;0;1;0;0;Colisao Traseira;ILESO
77;0;0;1;0;1;0;1;Colisao Lateral;ILESO
78;0;1;0;0;1;1;0;Colisao Lateral;ILESO
79;1;0;0;1;1;0;1;Colisao Traseira;FERIDO
80;0;1;1;0;1;0;0;Engavetamento;ILESO
81;0;1;1;1;1;0;0;Colisao Traseira;ILESO
82;0;0;1;0;1;0;0;Colisao Lateral;FERIDO
83;0;1;0;1;1;1;1;Colisao Lateral;ILESO
84;0;0;0;0;1;0;0;Engavetamento;FERIDO
85;0;0;0;0;1;0;0;Engavetamento;ILESO
86;1;0;0;0;1;0;1;Colisao Traseira;FERIDO
87;1;1;0;1;1;0;0;Choque c/ obstaculo fixo;ILESO
88;0;0;1;0;1;1;0;Engavetamento;ILESO
89;1;0;1;0;1;0;0;Colisao Traseira;ILESO
90;0;0;0;1;1;0;0;Colisao Traseira;ILESO
91;0;0;1;0;1;0;1;Colisao Lateral;FERIDO
92;0;0;0;0;1;0;0;Colisao Traseira;ILESO
93;0;0;0;0;1;0;0;Engavetamento;ILESO
94;0;0;0;0;1;0;0;Colisao Traseira;ILESO
95;0;1;0;1;1;0;0;Colisao Lateral;FERIDO
96;1;0;0;0;1;0;0;Atropelamento;FERIDO
97;0;0;0;0;1;1;0;Colisao Lateral;ILESO
98;0;0;0;0;1;0;0;Colisao Traseira;ILESO
99;1;0;0;1;1;0;1;Colisao Traseira;FERIDO
100;0;0;1;1;1;0;0;Colisao Traseira;ILESO
101;0;1;0;1;1;1;0;Colisao Lateral;FERIDO
102;1;0;0;1;1;0;0;Colisao Traseira;ILESO
103;0;1;0;1;1;0;0;Colisao Transversal;ILESO
104;0;1;0;0;1;0;0;Colisao Traseira;ILESO
105;0;0;1;0;1;0;1;Colisao Traseira;FERIDO
106;1;0;0;1;1;0;0;Colisao Traseira;ILESO
107;0;0;0;1;1;0;0;Colisao Traseira;ILESO
108;0;0;0;1;1;0;0;Engavetamento;ILESO
109;0;0;0;1;1;0;0;Engavetamento;ILESO
110;0;1;0;0;1;0;0;Colisao Transversal;ILESO
111;0;0;0;1;1;0;0;Colisao Traseira;ILESO
112;0;1;0;0;1;0;1;Atropelamento;FERIDO
113;1;0;0;1;1;0;1;Colisao Traseira;FERIDO
114;0;1;1;1;1;0;1;Colisao Traseira;ILESO
115;0;0;0;0;1;1;0;Colisao Lateral;ILESO
116;0;0;0;0;1;0;1;Colisao Lateral;FERIDO
117;0;1;0;1;1;0;1;Colisao Transversal;ILESO
118;0;1;0;1;1;1;1;Colisao Lateral;FERIDO
119;0;0;0;0;1;0;1;Colisao Traseira;FERIDO
120;0;1;0;1;1;0;0;Choque c/ obstaculo fixo;ILESO
121;0;0;1;0;1;0;0;Colisao Traseira;ILESO
122;0;0;1;1;1;0;0;Choque c/ obstaculo fixo;ILESO
123;0;0;1;0;1;0;1;Colisao Traseira;FERIDO
124;0;0;0;1;1;0;0;Colisao Lateral;ILESO
125;0;1;0;1;0;0;0;Colisao Lateral;ILESO
126;1;0;0;0;0;0;1;Colisao Transversal;FERIDO
127;0;1;0;1;0;0;1;Colisao Transversal;FERIDO
128;0;0;0;1;0;0;0;Colisao Lateral;ILESO
129;0;0;0;1;0;0;0;Colisao Lateral;FERIDO
130;0;0;0;0;0;0;0;Colisao Traseira;ILESO
131;1;0;0;1;0;0;1;Colisao Transversal;FERIDO
132;0;1;0;1;0;0;0;Choque c/ obstaculo fixo;ILESO
133;0;0;0;0;0;0;1;Colisao Lateral;FERIDO
134;0;1;0;1;0;0;0;Colisao Lateral;ILESO
135;0;0;1;1;0;0;0;Colisao Traseira;ILESO
136;0;0;0;1;0;0;1;Colisao Transversal;FERIDO
137;0;0;0;1;0;1;1;Colisao Transversal;FERIDO
138;0;0;0;0;0;0;0;Capotamento;FERIDO
139;1;0;0;0;0;0;1;Colisao Traseira;ILESO
140;1;0;0;1;0;0;0;Colisao Traseira;ILESO
141;0;0;0;0;1;1;0;Colisao Lateral;ILESO
142;0;1;0;0;1;1;0;Colisao Lateral;ILESO
143;0;0;0;0;1;0;0;Colisao Traseira;FERIDO
144;0;0;0;1;1;1;0;Colisao;FERIDO
145;0;1;0;0;1;0;1;Colisao Transversal;ILESO
146;0;0;0;1;1;0;0;Colisao Traseira;ILESO
147;0;0;0;0;1;0;0;Engavetamento;ILESO
148;1;0;0;0;1;0;0;Colisao Transversal;ILESO
149;1;0;0;0;1;1;0;Colisao Traseira;ILESO
150;0;1;0;1;1;0;0;Colisao Traseira;ILESO
151;1;0;0;0;1;1;0;Colisao;FERIDO
152;0;0;0;1;1;1;0;Colisao Lateral;ILESO
153;0;1;0;1;1;1;0;Colisao Transversal;FERIDO
154;1;1;1;1;1;1;0;Colisao Transversal;ILESO
155;1;0;0;0;1;0;0;Colisao Traseira;ILESO
156;1;0;0;0;1;1;0;Colisao Traseira;ILESO
157;0;0;0;1;1;1;0;Colisao Traseira;ILESO
158;0;1;0;0;1;0;0;Colisao Traseira;ILESO
159;1;1;0;0;1;0;0;Engavetamento;ILESO
160;0;0;0;0;1;1;0;Atropelamento;FERIDO
161;0;0;0;1;1;0;1;Colisao Traseira;ILESO
162;0;0;0;0;1;0;0;Colisao Transversal;ILESO
163;1;0;1;1;1;0;0;Colisao Frontal;FERIDO
164;0;0;0;0;1;0;1;Colisao Lateral;ILESO
165;0;0;0;1;1;0;0;Colisao Lateral;ILESO
166;0;0;0;1;1;0;0;Colisao Transversal;ILESO
167;1;1;0;1;1;0;1;Colisao Transversal;FERIDO
168;1;0;0;1;1;1;0;Colisao Transversal;ILESO
169;0;1;0;0;1;0;0;Colisao Traseira;ILESO
170;0;0;0;1;1;1;0;Colisao Transversal;ILESO
171;0;0;0;0;1;0;1;Colisao Frontal;FERIDO
172;1;0;0;1;1;1;0;Colisao Transversal;ILESO
173;0;1;1;0;1;0;1;Colisao Lateral;FERIDO
174;0;0;0;0;1;0;0;Colisao Lateral;ILESO
175;0;0;0;0;1;0;0;Colisao Lateral;ILESO
176;0;0;0;1;1;0;0;Colisao Lateral;FERIDO
177;1;0;0;1;1;0;0;Colisao Lateral;ILESO
178;0;0;0;0;1;0;1;Colisao Lateral;ILESO
179;0;0;0;0;1;0;0;Colisao Lateral;ILESO
180;0;0;0;1;1;0;1;Colisao Transversal;FERIDO
181;1;1;0;1;1;0;1;Colisao Transversal;FERIDO
182;0;1;0;1;1;1;0;Colisao Traseira;ILESO
183;0;0;0;1;1;0;0;Colisao Transversal;ILESO
184;0;0;0;1;1;1;0;Colisao Lateral;ILESO
185;0;1;1;0;1;1;0;Colisao Lateral;ILESO
186;0;0;0;0;1;0;0;Colisao Transversal;ILESO
187;0;0;0;1;1;0;0;Colisao Transversal;ILESO
188;0;0;0;1;1;1;0;Colisao Lateral;ILESO
189;0;0;0;0;1;0;0;Colisao Traseira;ILESO
190;0;1;0;0;1;0;0;Colisao Lateral;ILESO
191;0;0;0;1;1;0;1;Capotamento;FERIDO
192;0;1;0;1;1;0;0;Colisao Transversal;ILESO
193;1;0;0;1;1;1;0;Colisao Lateral;ILESO
194;1;0;0;1;1;0;1;Colisao Transversal;ILESO
195;0;0;1;1;1;0;0;Colisao Traseira;ILESO
196;0;1;1;1;1;0;1;Colisao Transversal;FERIDO
197;1;0;0;0;1;1;0;Atropelamento;FERIDO
198;0;0;0;1;1;0;0;Atropelamento;FERIDO
199;0;1;0;1;1;0;1;Colisao Lateral;ILESO
200;1;1;1;0;1;0;0;Engavetamento;FERIDO
201;0;0;0;0;1;0;0;Colisao Traseira;ILESO
202;0;0;0;0;1;0;0;Colisao Traseira;ILESO
203;1;1;0;1;1;0;1;Colisao Transversal;ILESO
204;1;0;0;0;1;0;0;Engavetamento;ILESO
205;0;0;0;1;1;0;0;Choque c/ obstaculo fixo;ILESO
206;0;0;0;1;1;0;0;Colisao Traseira;ILESO
207;0;0;0;1;1;1;0;Colisao Transversal;ILESO
208;0;1;0;1;1;0;0;Colisao Transversal;ILESO
209;0;0;0;1;1;0;0;Colisao Traseira;ILESO
210;0;1;0;1;1;0;1;Colisao Transversal;ILESO
211;0;0;1;1;1;0;0;Colisao Transversal;ILESO
212;1;0;0;1;1;0;0;Colisao Traseira;ILESO
213;1;0;0;0;1;0;0;Colisao Traseira;FERIDO
214;0;0;0;1;1;0;0;Colisao Traseira;ILESO
215;0;0;0;0;1;0;0;Colisao Transversal;ILESO
216;0;0;0;0;1;1;0;Colisao Traseira;ILESO
217;0;0;0;0;1;1;0;Colisao Lateral;ILESO
218;0;1;0;1;1;1;0;Colisao Lateral;ILESO
219;0;1;0;1;1;1;0;Colisao Lateral;FERIDO
220;0;1;1;1;1;1;0;Colisao Lateral;FERIDO
221;0;0;0;1;1;1;0;Colisao Lateral;ILESO
222;0;1;0;1;1;1;0;Colisao Lateral;ILESO
223;0;0;0;1;1;0;0;Colisao Traseira;ILESO
224;1;0;0;0;1;0;0;Colisao Lateral;ILESO
225;0;0;0;1;1;1;0;Colisao Transversal;ILESO
226;0;1;0;1;1;1;0;Colisao Lateral;ILESO
227;0;1;0;0;1;0;0;Colisao Lateral;ILESO
228;0;0;0;1;1;1;0;Colisao Traseira;ILESO
229;0;1;0;1;1;1;0;Colisao Lateral;ILESO
230;0;1;0;1;1;1;0;Colisao Traseira;ILESO
231;0;1;0;1;0;1;0;Colisao Transversal;ILESO
232;0;1;0;1;1;1;0;Colisao Lateral;ILESO
233;0;1;0;0;0;1;0;Colisao Lateral;ILESO
234;0;1;0;1;1;0;1;Colisao Lateral;FERIDO
235;0;1;0;1;1;0;1;Colisao Transversal;FERIDO
236;0;1;0;1;1;1;0;Colisao Lateral;ILESO
237;1;0;0;0;1;0;0;Colisao Lateral;ILESO
238;0;0;0;0;1;0;0;Colisao Lateral;ILESO
239;0;0;0;0;1;1;1;Engavetamento;ILESO
240;0;0;0;0;1;1;0;Colisao Lateral;ILESO
241;0;0;0;0;1;0;0;Colisao Lateral;ILESO
242;0;0;0;0;1;0;0;Colisao Lateral;ILESO
243;0;1;1;0;1;1;0;Colisao Lateral;ILESO
244;0;0;0;0;1;1;0;Colisao Transversal;FERIDO
245;1;0;0;0;1;1;0;Engavetamento;ILESO
246;0;0;0;1;1;0;0;Colisao Traseira;ILESO
247;0;0;0;0;1;0;0;Colisao Lateral;ILESO
248;0;0;0;0;1;0;0;Colisao Lateral;ILESO
249;0;1;1;1;1;1;0;Colisao Traseira;ILESO
250;1;0;0;1;1;0;0;Colisao Frontal;ILESO
251;1;0;0;1;1;1;0;Colisao Lateral;ILESO
252;0;0;0;0;1;0;1;Colisao Lateral;FERIDO
253;0;0;0;0;1;0;1;Colisao;FERIDO
254;0;0;0;1;1;0;0;Colisao Traseira;ILESO
255;0;0;0;0;1;0;0;Colisao Lateral;FERIDO
256;0;1;0;0;1;1;0;Colisao Traseira;ILESO
257;0;0;0;1;1;1;0;Colisao Traseira;ILESO
258;0;0;0;1;1;0;1;Colisao Traseira;FERIDO
259;0;0;0;1;1;0;0;Colisao Lateral;ILESO
260;0;0;0;0;1;1;0;Colisao Lateral;ILESO
261;0;0;1;1;1;1;0;Colisao Transversal;ILESO
262;0;1;0;1;1;0;1;Colisao Lateral;FERIDO
263;0;0;0;1;1;0;0;Colisao Lateral;ILESO
264;1;1;0;1;1;0;1;Colisao Transversal;FERIDO
265;0;1;0;1;1;1;0;Colisao Traseira;FERIDO
266;1;0;0;0;1;0;1;Colisao Lateral;FERIDO
267;0;1;0;1;1;1;0;Colisao Lateral;ILESO
268;0;0;0;1;1;0;0;Colisao Lateral;ILESO
269;0;1;0;1;1;0;0;Colisao Transversal;ILESO
270;0;1;0;0;1;1;1;Colisao Traseira;FERIDO
271;1;0;0;1;1;0;0;Colisao Traseira;ILESO
272;1;0;0;1;1;0;0;Colisao Traseira;ILESO
273;0;0;0;0;1;0;1;Colisao Lateral;FERIDO
274;0;0;0;0;1;0;0;Colisao Traseira;ILESO
275;0;0;0;0;1;1;0;Colisao Lateral;ILESO
276;0;1;0;1;1;1;0;Colisao Lateral;ILESO
277;0;0;0;0;1;0;0;Colisao Lateral;ILESO
278;0;0;0;0;1;0;0;Colisao Lateral;ILESO
279;0;0;0;0;1;0;1;Colisao Traseira;FERIDO
280;0;1;0;0;1;0;0;Colisao Lateral;ILESO
281;0;0;0;0;1;1;0;Colisao Lateral;ILESO
282;0;0;0;0;1;1;0;Atropelamento;FERIDO
283;0;1;0;0;1;0;0;Colisao Lateral;ILESO
284;0;0;0;1;1;1;1;Colisao Transversal;FERIDO
285;0;1;0;0;1;0;0;Colisao Lateral;ILESO
286;0;1;0;0;1;0;0;Colisao Traseira;ILESO
287;0;0;0;1;1;0;0;Colisao Lateral;ILESO
288;0;1;0;1;1;0;0;Colisao Lateral;ILESO
289;0;0;0;0;1;0;0;Colisao Lateral;ILESO
290;0;0;0;1;1;0;0;Colisao Lateral;ILESO
291;0;1;0;1;1;1;0;Colisao Lateral;ILESO
292;0;1;0;1;1;0;0;Colisao Lateral;ILESO
293;0;1;0;1;1;0;1;Colisao Transversal;ILESO
294;0;1;0;1;1;0;0;Colisao Transversal;ILESO
295;0;0;0;1;1;0;0;Colisao Lateral;ILESO
296;0;0;0;0;1;0;1;Colisao Traseira;ILESO
297;0;1;0;1;1;0;0;Colisao Lateral;ILESO
298;0;0;0;1;1;0;0;Colisao Traseira;ILESO
299;0;0;0;1;1;0;0;Colisao Traseira;ILESO
300;0;0;1;1;1;0;0;Colisao Lateral;ILESO
301;0;0;0;1;1;1;0;Colisao Lateral;ILESO
302;0;1;0;1;0;1;0;Colisao Lateral;ILESO
303;0;0;0;0;0;0;0;Colisao Traseira;ILESO
304;0;0;0;1;0;0;1;Colisao Transversal;FERIDO
305;0;1;1;0;0;0;1;Colisao Lateral;FERIDO
306;0;0;0;1;0;0;0;Colisao Lateral;ILESO
307;0;1;0;0;0;0;0;Colisao Lateral;ILESO
308;0;0;0;0;0;0;1;Colisao Lateral;ILESO
309;0;0;0;0;0;0;1;Colisao Traseira;FERIDO
310;0;0;0;0;0;0;1;Colisao Traseira;FERIDO
311;0;1;0;0;0;0;0;Colisao Traseira;ILESO
312;0;1;0;0;0;1;0;Colisao Lateral;FERIDO
313;0;0;0;1;0;0;1;Colisao Transversal;FERIDO
314;0;1;0;0;0;0;0;Colisao Traseira;ILESO
315;0;0;0;1;0;1;0;Colisao Lateral;ILESO
316;0;0;0;1;0;0;0;Engavetamento;ILESO
317;0;1;0;0;0;1;0;Colisao Traseira;ILESO
318;0;1;0;0;0;0;1;Colisao Lateral;FERIDO
319;0;0;0;0;0;0;0;Choque c/ obstaculo fixo;FERIDO
320;0;0;0;0;0;0;0;Colisao Traseira;ILESO
321;0;0;0;0;0;0;1;Colisao Traseira;FERIDO
322;0;1;0;0;0;0;1;Colisao Traseira;FERIDO
323;1;0;0;0;0;0;0;Colisao Lateral;ILESO
324;0;1;0;0;0;0;0;Colisao Traseira;ILESO
325;0;1;0;0;0;0;0;Colisao Traseira;FERIDO
326;0;0;0;1;0;0;0;Colisao Lateral;ILESO
327;0;1;0;1;0;0;1;Colisao Transversal;FERIDO
328;0;0;1;1;0;0;1;Colisao Transversal;FERIDO
329;0;1;0;0;0;0;0;Choque c/ obstaculo fixo;ILESO
330;1;0;0;0;0;0;0;Colisao Traseira;ILESO
331;0;0;0;0;0;0;0;Colisao Lateral;ILESO
332;1;0;0;0;0;0;1;Colisao Traseira;FERIDO
333;0;1;0;0;0;0;1;Colisao Transversal;FERIDO
334;0;0;0;1;0;0;1;Colisao Traseira;FERIDO
335;0;1;0;0;0;0;0;Colisao Lateral;ILESO
336;0;1;1;0;0;0;0;Colisao Traseira;ILESO
337;1;1;0;0;0;0;0;Colisao Traseira;ILESO
338;0;1;0;0;0;0;0;Colisao Traseira;ILESO
339;0;1;0;0;0;0;1;Colisao Traseira;FERIDO
340;0;1;0;0;0;0;0;Colisao Traseira;ILESO
341;0;0;1;0;0;0;0;Colisao Traseira;ILESO
342;0;1;0;0;0;0;0;Colisao Traseira;ILESO
343;0;1;0;0;0;0;1;Colisao Traseira;FERIDO
344;0;0;0;0;0;0;0;Atropelamento;FERIDO
345;1;0;0;0;0;0;1;Atropelamento;FERIDO
346;1;0;0;0;0;0;1;Colisao Traseira;FERIDO
347;1;1;0;0;0;0;1;Atropelamento;FERIDO
348;0;0;0;0;0;0;0;Choque c/ obstaculo fixo;FERIDO
349;1;0;0;1;0;0;0;Colisao Traseira;ILESO
350;0;0;0;0;0;0;1;Colisao Traseira;FERIDO
351;0;1;0;1;0;0;0;Colisao Traseira;ILESO
352;0;0;0;1;0;0;0;Colisao Traseira;ILESO
353;0;0;0;1;0;1;1;Colisao Lateral;FERIDO
354;0;0;0;1;0;0;0;Colisao Traseira;ILESO
355;0;1;0;1;0;0;0;Colisao Traseira;ILESO
356;0;0;0;1;0;0;1;Colisao Transversal;ILESO
357;0;0;0;1;0;0;1;Colisao Lateral;FERIDO
358;0;0;1;1;0;0;0;Colisao Transversal;ILESO
359;0;0;0;1;0;0;0;Colisao Lateral;ILESO
360;0;0;0;1;0;0;0;Colisao Lateral;ILESO
361;0;0;0;1;1;0;0;Colisao Lateral;ILESO
362;0;0;0;0;1;0;0;Colisao Lateral;ILESO
363;0;0;0;1;1;1;0;Colisao Traseira;FERIDO
364;0;1;0;1;1;0;0;Choque c/ obstaculo fixo;ILESO
365;0;0;0;0;1;0;0;Choque c/ obstaculo fixo;ILESO
366;0;0;0;1;1;0;1;Colisao Lateral;FERIDO
367;0;0;0;1;1;0;0;Colisao Traseira;ILESO
368;1;1;0;0;1;1;0;Colisao Lateral;ILESO
369;1;1;0;1;1;0;0;Colisao Lateral;FERIDO
370;1;0;0;1;1;0;0;Colisao Lateral;ILESO
371;0;0;0;1;1;0;0;Colisao Lateral;ILESO
372;0;1;0;0;1;0;1;Colisao;ILESO
373;1;0;0;1;1;1;0;Colisao Traseira;ILESO
374;0;0;0;1;1;0;0;Colisao Transversal;ILESO
375;1;0;0;0;1;0;1;Colisao Traseira;ILESO
376;0;0;0;0;1;0;0;Colisao Traseira;ILESO
377;1;0;0;0;1;0;0;Colisao Lateral;ILESO
378;1;1;0;0;1;1;0;Atropelamento;FERIDO
379;0;0;0;1;1;1;0;Colisao Transversal;FERIDO
380;1;1;0;1;1;0;0;Engavetamento;FERIDO
381;0;1;0;1;1;0;0;Choque c/ obstaculo fixo;ILESO
382;0;0;0;1;1;0;1;Colisao Traseira;ILESO
383;0;0;0;1;0;0;1;Colisao Lateral;FERIDO
384;0;1;0;1;0;1;0;Colisao Lateral;ILESO
385;0;0;0;0;1;0;0;Engavetamento;ILESO
386;0;0;1;0;1;0;0;Colisao Lateral;FERIDO
387;0;0;0;1;1;1;0;Colisao Lateral;ILESO
388;0;0;0;1;1;0;1;Colisao Frontal;FERIDO
389;0;0;0;0;1;1;0;Colisao Lateral;FERIDO
390;0;0;0;1;1;0;0;Colisao Lateral;ILESO
391;1;0;0;0;1;0;1;Colisao Traseira;FERIDO
392;0;0;0;1;1;0;0;Colisao Transversal;ILESO
393;0;1;0;0;1;0;0;Colisao;FERIDO
394;1;0;0;1;1;0;0;Colisao Transversal;ILESO
395;0;0;0;1;1;1;0;Colisao Lateral;ILESO
396;0;1;0;1;0;0;1;Colisao Frontal;ILESO
397;0;1;0;1;0;0;1;Colisao Traseira;FERIDO
398;0;0;0;1;1;1;0;Colisao Lateral;ILESO
399;0;1;0;1;1;0;0;Colisao Transversal;ILESO
400;0;0;0;0;1;0;0;Colisao Traseira;ILESO
401;0;1;0;1;1;0;0;Colisao Lateral;ILESO
402;0;0;0;1;1;0;1;Colisao Transversal;FERIDO
403;0;0;0;1;1;0;0;Colisao Transversal;ILESO
404;1;0;0;1;1;0;0;Colisao Traseira;ILESO
405;1;1;0;0;0;1;0;Colisao Lateral;ILESO
406;0;0;0;1;0;0;0;Colisao Traseira;ILESO
407;1;0;0;1;0;1;0;Colisao Traseira;ILESO
408;0;0;0;0;0;0;1;Colisao Traseira;FERIDO
409;0;0;0;1;1;0;1;Colisao Transversal;FERIDO
410;0;0;0;1;0;0;0;Colisao Lateral;ILESO
411;0;1;1;0;0;1;0;Colisao Lateral;ILESO
412;0;0;0;1;0;0;1;Colisao Lateral;ILESO
413;0;0;1;0;1;0;1;Colisao Lateral;ILESO
414;0;0;0;1;0;1;0;Colisao Lateral;ILESO
415;1;0;0;0;0;0;0;Colisao Lateral;ILESO
416;0;0;0;1;0;1;0;Colisao Lateral;ILESO
417;0;0;0;1;0;1;0;Colisao Transversal;ILESO
418;0;0;1;0;0;1;0;Colisao Lateral;ILESO
419;0;1;0;0;0;0;0;Colisao Lateral;ILESO
420;0;0;0;1;0;0;1;Colisao Traseira;FERIDO
421;0;0;1;0;0;0;0;Colisao Lateral;FERIDO
422;0;0;0;1;0;1;0;Colisao Transversal;FERIDO
423;1;0;0;0;0;0;1;Colisao Traseira;FERIDO
424;0;1;1;0;1;0;0;Atropelamento;FERIDO
425;0;0;0;1;0;0;0;Colisao Traseira;ILESO
426;0;1;0;0;0;0;0;Colisao Traseira;ILESO
427;0;0;0;1;0;0;0;Colisao Traseira;ILESO
428;1;0;1;0;1;0;1;Colisao Traseira;FERIDO
429;1;0;0;0;1;0;0;Choque c/ obstaculo fixo;FERIDO
430;0;0;0;0;0;0;0;Colisao Lateral;FERIDO
431;1;0;0;1;0;0;0;Choque c/ obstaculo fixo;FERIDO
432;0;1;0;1;0;1;1;Colisao Transversal;FERIDO
433;0;0;0;0;0;0;1;Colisao Lateral;FERIDO
434;1;1;0;0;1;0;0;Choque c/ obstaculo fixo;ILESO
435;0;0;0;0;1;0;0;Engavetamento;ILESO
436;1;1;0;0;0;0;0;Colisao Traseira;ILESO
437;0;0;0;1;0;0;1;Colisao Lateral;FERIDO
438;0;1;0;0;0;0;1;Colisao Frontal;FERIDO
439;0;0;0;0;0;0;0;Colisao Traseira;ILESO
440;0;0;0;0;0;0;0;Engavetamento;ILESO
441;0;0;0;0;0;0;0;Colisao Lateral;ILESO
442;1;0;0;0;0;1;1;Colisao Traseira;FERIDO
443;1;0;0;1;0;0;0;Engavetamento;ILESO
444;0;0;0;0;0;0;0;Engavetamento;FERIDO
445;0;0;0;1;0;0;1;Colisao Transversal;ILESO
446;0;0;0;0;0;0;1;Colisao Traseira;FERIDO
447;0;0;0;0;0;0;0;Colisao Traseira;ILESO
448;0;0;0;0;0;0;1;Choque c/ obstaculo fixo;FERIDO
449;0;0;0;0;0;0;0;Engavetamento;ILESO
450;0;0;0;1;0;1;0;Colisao;FERIDO
451;0;0;0;0;0;0;0;Colisao Traseira;ILESO
452;1;0;0;1;0;0;1;Colisao Traseira;ILESO
453;0;0;0;0;0;0;0;Colisao Traseira;ILESO
454;0;1;1;1;0;0;0;Colisao Traseira;ILESO
455;0;0;0;1;0;0;1;Colisao Transversal;ILESO
456;0;0;1;1;0;0;0;Colisao Traseira;ILESO
457;0;0;0;0;0;1;0;Colisao Transversal;ILESO
